id,text,language,label,sub_category
95,Omega-3 açısından zengin,tr,Nutritional and Health Claims,health_claim
96,sac@danone.com.br,pt,Emails or Website URL,contact_info
97,使用前によく振る,ja,Usage Instructions,preparation_guide
98,"영양정보（100g당）: 열량 400kcal, 지방 15g (포화지방 7g), 탄수화물 60g (당류 25g), 단백질 8g, 나트륨 200mg",ko,Nutritional Fact Label,nutrition_table
99,खोलने के बाद फ्रिज में रखें और 3 दिनों में उपयोग करें,hi,Storage Instructions,storage_guidance
100,농심 신라면,ko,Product Name and Identity,brand_product
101,Düşük yağ,tr,Nutritional and Health Claims,health_claim
102,USE BY: 11/2027,en,Sell-By / Best-Before / Expiry Dates,expiry_date
103,Açıldıktan sonra buzdolabında saklayın ve 3 gün içinde tüketin,tr,Storage Instructions,storage_guidance
104,Peut contenir des traces d'ARACHIDES et de FRUITS À COQUE,fr,Allergy Labeling,allergen_warning
105,Koscher,de,Certifications,certification_mark
106,"1,5 l",pl,Net Quantity of Contents,weight_volume
107,Fortified with Iron,en,Nutritional and Health Claims,health_claim
108,Срок годности: 06/2027,ru,Sell-By / Best-Before / Expiry Dates,expiry_date
109,순중량 300g,ko,Net Quantity of Contents,weight_volume
110,Sódio reduzido,pt,Nutritional and Health Claims,health_claim
111,www.orion.co.kr,ko,Emails or Website URL,contact_info
112,저나트륨,ko,Nutritional and Health Claims,health_claim
113,Conservare sotto i 25°C,it,Storage Instructions,storage_guidance
114,Son Kullanma Tarihi: 10/2027,tr,Sell-By / Best-Before / Expiry Dates,expiry_date
115,삼양 불닭볶음면,ko,Product Name and Identity,brand_product
116,Срок годности: 01/2027,ru,Sell-By / Best-Before / Expiry Dates,expiry_date
117,High in Fibre,en,Nutritional and Health Claims,health_claim
118,"Fabbricato da Ferrero S.p.A., Piazzale Pietro Ferrero 1, 12051 Alba (CN)",it,Manufacturer Name and Address,manufacturer_info
119,해태 허니버터칩,ko,Product Name and Identity,brand_product
120,Freír en aceite caliente 3-4 minutos,es,Usage Instructions,preparation_guide
121,ISO 22000,it,Certifications,certification_mark
122,visite: marca.pt,pt,Emails or Website URL,contact_info
123,HACCP 인증,ko,Certifications,certification_mark
124,Kühl und trocken lagern,de,Storage Instructions,storage_guidance
125,Farm Fresh Quality,en,Marketing Claims,promotional_text
126,Comércio Justo,pt,Certifications,certification_mark
127,يفضل استهلاكه قبل: 12/2027,ar,Sell-By / Best-Before / Expiry Dates,expiry_date
128,Qualité Premium,fr,Marketing Claims,promotional_text
129,المكونات: ماء، معجون طماطم، ملح، توابل,ar,Ingredients,ingredient_list
130,www.danone.es,es,Emails or Website URL,contact_info
131,Источник витамина D,ru,Nutritional and Health Claims,health_claim
132,Validade: 09/2026,pt,Sell-By / Best-Before / Expiry Dates,expiry_date
133,Ingredientes 100% Naturais,pt,Marketing Claims,promotional_text
134,Органический сертифицированный,ru,Certifications,certification_mark
135,제조일자: 06/2026,ko,Sell-By / Best-Before / Expiry Dates,expiry_date
136,"पोषण तथ्य प्रति 100 ग्राम: ऊर्जा 400 किलोकैलोरी, वसा 15 ग्राम, कार्बोहाइड्रेट 60 ग्राम, प्रोटीन 8 ग्राम, नमक 0.5 ग्राम",hi,Nutritional Fact Label,nutrition_table
137,Piec w 180°C przez 25 minut,pl,Usage Instructions,preparation_guide
138,بعد الفتح، يحفظ في الثلاجة ويستهلك خلال 3 أيام,ar,Storage Instructions,storage_guidance
139,"1,5 L",es,Net Quantity of Contents,weight_volume
140,Non-GMO Project Verified,en,Certifications,certification_mark
141,Lavazza Caffè Espresso,it,Product Name and Identity,brand_product
142,www.verkade.nl,nl,Emails or Website URL,contact_info
143,Certifié Vegan,fr,Certifications,certification_mark
144,info@unilever.co.uk,en,Emails or Website URL,contact_info
145,जैविक प्रमाणित,hi,Certifications,certification_mark
146,Масса нетто 500г,ru,Net Quantity of Contents,weight_volume
147,Frische vom Bauernhof,de,Marketing Claims,promotional_text
148,"İçerir: Süt, Soya, Buğday, Yumurta",tr,Allergy Labeling,allergen_warning
149,含有亚硫酸盐,zh,Allergy Labeling,allergen_warning
150,750ml e,en,Net Quantity of Contents,weight_volume
151,Calcium contributes to normal bone maintenance,en,Nutritional and Health Claims,health_claim
152,CONTIENE: PESCADO,es,Allergy Labeling,allergen_warning
153,Prodotto in uno stabilimento che utilizza SESAMO,it,Allergy Labeling,allergen_warning
154,تاريخ الانتهاء: 12/2026,ar,Sell-By / Best-Before / Expiry Dates,expiry_date
155,USE BY: 01/2027,en,Sell-By / Best-Before / Expiry Dates,expiry_date
156,Microonde 90 secondi alla massima potenza,it,Usage Instructions,preparation_guide
157,250 мл,ru,Net Quantity of Contents,weight_volume
158,鉄分強化,ja,Nutritional and Health Claims,health_claim
159,Conservar alejado de la luz solar directa,es,Storage Instructions,storage_guidance
160,www.edeka.de,de,Emails or Website URL,contact_info
161,À CONSOMMER DE PRÉFÉRENCE AVANT FIN: 06/2026,fr,Sell-By / Best-Before / Expiry Dates,expiry_date
162,Chocapic Cereales con Chocolate,es,Product Name and Identity,brand_product
163,समाप्ति: 06/2027,hi,Sell-By / Best-Before / Expiry Dates,expiry_date
164,Koosjer,nl,Certifications,certification_mark
165,"Per serving (30g): Calories 120, Total Fat 3g, Saturated Fat 1g, Trans Fat 0g, Cholesterol 0mg, Sodium 150mg, Total Carbohydrate 22g, Dietary Fiber 2g, Total Sugars 10g, Protein 2g",en,Nutritional Fact Label,nutrition_table
166,نستله نسكافيه جولد,ar,Product Name and Identity,brand_product
167,成分：水、奶粉、可可粉（3%）、植物油、改性淀粉,zh,Ingredients,ingredient_list
168,Vegan Zertifiziert,de,Certifications,certification_mark
169,Tenere al fresco a 0-4°C,it,Storage Instructions,storage_guidance
170,Fait avec de Vrais Fruits,fr,Marketing Claims,promotional_text
171,Bei 180°C 25 Minuten backen,de,Usage Instructions,preparation_guide
172,100%天然成分,ja,Marketing Claims,promotional_text
173,Pode conter MOSTARDA,pt,Allergy Labeling,allergen_warning
174,储存在阴凉干燥处,zh,Storage Instructions,storage_guidance
175,"शामिल है: दूध, सोया, गेहूं, अंडा",hi,Allergy Labeling,allergen_warning
176,समाप्ति: 10/2027,hi,Sell-By / Best-Before / Expiry Dates,expiry_date
177,Non congelare. Tenere al fresco.,it,Storage Instructions,storage_guidance
178,含有成分：乳、大豆、小麦、卵,ja,Allergy Labeling,allergen_warning
179,HACCP Gecertificeerd,nl,Certifications,certification_mark
180,高纤维,zh,Nutritional and Health Claims,health_claim
181,"INGREDIENTI: Acqua, Concentrato di pomodoro, Sale, Spezie",it,Ingredients,ingredient_list
182,मूंगफली और ड्राई फ्रूट्स के अंश हो सकते हैं,hi,Allergy Labeling,allergen_warning
183,Qualità Premium,it,Marketing Claims,promotional_text
184,製造：ネスレ日本株式会社、兵庫県神戸市中央区御幸通7-1-15,ja,Manufacturer Name and Address,manufacturer_info
185,Ne pas congeler. Conserver au frais.,fr,Storage Instructions,storage_guidance
186,熱い油で3-4分揚げる,ja,Usage Instructions,preparation_guide
187,Yapay Renk ve Aroma İçermez,tr,Marketing Claims,promotional_text
188,ハラール認証,ja,Certifications,certification_mark
189,ISO 22000,nl,Certifications,certification_mark
190,"원재료명: 밀가루, 설탕, 팜유, 소금, 팽창제(E500, E503), 유화제(대두 레시틴 E322)",ko,Ingredients,ingredient_list
191,"Bewaren op een koele, droge plaats",nl,Storage Instructions,storage_guidance
192,Microwave on HIGH for 90 seconds,en,Usage Instructions,preparation_guide
193,1.5 L,en,Net Quantity of Contents,weight_volume
194,賞味期限：2026年5月,ja,Sell-By / Best-Before / Expiry Dates,expiry_date
195,Ohne künstliche Farb- und Aromastoffe,de,Marketing Claims,promotional_text
196,直射日光を避けて保存,ja,Storage Instructions,storage_guidance
197,Годен до: 12/2026,ru,Sell-By / Best-Before / Expiry Dates,expiry_date
198,Halal Gecertificeerd,nl,Certifications,certification_mark
199,레인포레스트 얼라이언스 인증,ko,Certifications,certification_mark
200,"Informação Nutricional por 100g: Energia 1680kJ/400kcal, Lípidos 15g (dos quais saturados 7g), Hidratos de carbono 60g (açúcares 25g), Proteínas 8g, Sal 0,5g",pt,Nutritional Fact Label,nutrition_table
201,Vegan Society Certified,en,Certifications,certification_mark
202,Geproduceerd in een fabriek die SESAM verwerkt,nl,Allergy Labeling,allergen_warning
203,雨林联盟认证,zh,Certifications,certification_mark
204,CONTÉM: PEIXE,pt,Allergy Labeling,allergen_warning
205,Certificato Vegano,it,Certifications,certification_mark
206,visitez-nous: marque.fr,fr,Emails or Website URL,contact_info
207,Eti Burçak Bisküvi,tr,Product Name and Identity,brand_product
208,减钠,zh,Nutritional and Health Claims,health_claim
209,净含量 500克,zh,Net Quantity of Contents,weight_volume
210,"INGREDIËNTEN: Water, Tomatenpuree, Zout, Kruiden",nl,Ingredients,ingredient_list
211,مصدر لفيتامين د,ar,Nutritional and Health Claims,health_claim
212,معتمد من تحالف الغابات المطيرة,ar,Certifications,certification_mark
213,ब्रिटानिया गुड डे बिस्कुट,hi,Product Name and Identity,brand_product
214,净重 300克,zh,Net Quantity of Contents,weight_volume
215,Micro-ondas 90 segundos em potência máxima,pt,Usage Instructions,preparation_guide
216,뜨거운 기름에 3-4분 튀기기,ko,Usage Instructions,preparation_guide
217,Commerce Équitable,fr,Certifications,certification_mark
218,1.5升,zh,Net Quantity of Contents,weight_volume
219,"İmalatçı: Pınar Süt Mamulleri, İzmir",tr,Manufacturer Name and Address,manufacturer_info
220,Kosher,es,Certifications,certification_mark
221,"INGREDIENTS: Pasteurized MILK, Salt, Microbial rennet, Lactic acid cultures",en,Ingredients,ingredient_list
222,자연스럽게 맛있는,ko,Marketing Claims,promotional_text
223,"Once opened, refrigerate and consume within 3 days",en,Storage Instructions,storage_guidance
224,Añadir a 200ml de agua hirviendo y remover,es,Usage Instructions,preparation_guide
225,Хранить при температуре 0-4°C,ru,Storage Instructions,storage_guidance
226,يحتوي على: حليب، بيض، صويا، جلوتين، مستحلب (E322),ar,Ingredients,ingredient_list
227,사용 전 잘 흔들어 주세요,ko,Usage Instructions,preparation_guide
228,蒙牛特仑苏纯牛奶,zh,Product Name and Identity,brand_product
229,उपयोग की अंतिम तिथि: 08/2027,hi,Sell-By / Best-Before / Expiry Dates,expiry_date
230,끓는 물 200ml에 넣고 저어주세요,ko,Usage Instructions,preparation_guide
231,在处理芝麻的设施中生产,zh,Allergy Labeling,allergen_warning
232,PESO LÍQUIDO 450g,pt,Net Quantity of Contents,weight_volume
233,رج جيدًا قبل الاستخدام,ar,Usage Instructions,preparation_guide
234,"Fabrikant: Verkade B.V., Zaandam",nl,Manufacturer Name and Address,manufacturer_info
235,Fraîcheur de la Ferme,fr,Marketing Claims,promotional_text
236,"1,5 L",nl,Net Quantity of Contents,weight_volume
237,포함: 어류,ko,Allergy Labeling,allergen_warning
238,Net Ağırlık 500g,tr,Net Quantity of Contents,weight_volume
239,Premium-Qualität,de,Marketing Claims,promotional_text
240,Contiene SOLFITI,it,Allergy Labeling,allergen_warning
241,Certyfikat Rainforest Alliance,pl,Certifications,certification_mark
242,开封后请冷藏,zh,Storage Instructions,storage_guidance
243,Добавить в 200мл кипящей воды и размешать,ru,Usage Instructions,preparation_guide
244,Chocomel Chocolademelk,nl,Product Name and Identity,brand_product
245,"Пищевая ценность на 100г: Энергия 400ккал, Жиры 15г (насыщенные 7г), Углеводы 60г (сахара 25г), Белки 8г, Соль 0,5г",ru,Nutritional Fact Label,nutrition_table
246,Koşer,tr,Certifications,certification_mark
247,Comercio Justo,es,Certifications,certification_mark
248,"İçerir: Süt, Yumurta, Soya, Gluten, Emülgatör (E322)",tr,Ingredients,ingredient_list
249,Kühl lagern bei 0-4°C,de,Storage Instructions,storage_guidance
250,低脂肪,zh,Nutritional and Health Claims,health_claim
251,ISO 22000,en,Certifications,certification_mark
252,Expertly Crafted,en,Marketing Claims,promotional_text
253,Certificado HACCP,es,Certifications,certification_mark
254,Beschermen tegen direct zonlicht,nl,Storage Instructions,storage_guidance
255,伊利纯牛奶 250毫升,zh,Product Name and Identity,brand_product
256,Galbani Mozzarella di Bufala,it,Product Name and Identity,brand_product
257,"Gedistribueerd door: Albert Heijn B.V., Zaandam, Nederland",nl,Manufacturer Name and Address,manufacturer_info
258,天然美味,zh,Marketing Claims,promotional_text
259,750ml ℮,pt,Net Quantity of Contents,weight_volume
260,BEST BEFORE END: 06/2027,en,Sell-By / Best-Before / Expiry Dates,expiry_date
261,Alerjen Uyarısı: GLUTEN içerir,tr,Allergy Labeling,allergen_warning
262,Lay's Classic Potato Chips,en,Product Name and Identity,brand_product
263,Senza Coloranti e Aromi Artificiali,it,Marketing Claims,promotional_text
264,Kan sporen bevatten van PINDA'S en NOTEN,nl,Allergy Labeling,allergen_warning
265,유통기한: 08/2026,ko,Sell-By / Best-Before / Expiry Dates,expiry_date
266,Calcium trägt zur Erhaltung normaler Knochen bei,de,Nutritional and Health Claims,health_claim
267,Chronić przed bezpośrednim światłem słonecznym,pl,Storage Instructions,storage_guidance
268,Nieuw & Verbeterd Recept!,nl,Marketing Claims,promotional_text
269,Uiterste gebruiksdatum: 01/2027,nl,Sell-By / Best-Before / Expiry Dates,expiry_date
270,После вскрытия хранить в холодильнике,ru,Storage Instructions,storage_guidance
271,750ml ℮,es,Net Quantity of Contents,weight_volume
272,MINDESTHALTBAR BIS: 02/2028,de,Sell-By / Best-Before / Expiry Dates,expiry_date
273,يحفظ في مكان بارد وجاف,ar,Storage Instructions,storage_guidance
274,Manter refrigerado a 0-4°C,pt,Storage Instructions,storage_guidance
275,Bogaty w Omega-3,pl,Nutritional and Health Claims,health_claim
276,"शामिल है: दूध, अंडा, सोया, ग्लूटेन, इमल्सीफायर (E322)",hi,Ingredients,ingredient_list
277,خدمة العملاء@المراعي.com,ar,Emails or Website URL,contact_info
278,有机认证,zh,Certifications,certification_mark
279,موزع من قبل: الصافي دانون، جدة، المملكة العربية السعودية,ar,Manufacturer Name and Address,manufacturer_info
280,Fonte di vitamina D,it,Nutritional and Health Claims,health_claim
281,Cook at 180°C for 25 minutes,en,Usage Instructions,preparation_guide
282,인공 색소 및 향료 무첨가,ko,Marketing Claims,promotional_text
283,Certyfikat HACCP,pl,Certifications,certification_mark
284,Простоквашино Молоко 3.2%,ru,Product Name and Identity,brand_product
285,Dove Шоколад Молочный,ru,Product Name and Identity,brand_product
286,"Bevat: Melk, Eieren, Soja, Gluten, Emulgator (E322)",nl,Ingredients,ingredient_list
287,"Distribuído por: Pão de Açúcar, Avenida Brigadeiro Luiz Antonio, São Paulo",pt,Manufacturer Name and Address,manufacturer_info
288,Jamón Serrano Reserva,es,Product Name and Identity,brand_product
289,Può contenere SENAPE,it,Allergy Labeling,allergen_warning
290,无添加糖,zh,Nutritional and Health Claims,health_claim
291,Può contenere tracce di ARACHIDI e FRUTTA A GUSCIO,it,Allergy Labeling,allergen_warning
292,Alérgenos: Contém GLÚTEN,pt,Allergy Labeling,allergen_warning
293,Contains Probiotics,en,Nutritional and Health Claims,health_claim
294,Halal-Zertifiziert,de,Certifications,certification_mark
295,TMC: 11/2026,it,Sell-By / Best-Before / Expiry Dates,expiry_date
296,自然なおいしさ,ja,Marketing Claims,promotional_text
297,最佳食用日期：09/2027,zh,Sell-By / Best-Before / Expiry Dates,expiry_date
298,Fairtrade,de,Certifications,certification_mark
299,Conserver en dessous de 25°C,fr,Storage Instructions,storage_guidance
300,Arricchito con ferro,it,Nutritional and Health Claims,health_claim
301,أضف إلى 200 مل ماء مغلي وحرك,ar,Usage Instructions,preparation_guide
302,لذيذ طبيعيًا,ar,Marketing Claims,promotional_text
303,المكونات: دقيق القمح، سكر، زيت النخيل، ملح، عوامل انتفاخ (E500، E503),ar,Ingredients,ingredient_list
304,www.nestle.co.jp,ja,Emails or Website URL,contact_info
305,"Wyprodukowano dla: Lidl Polska, Janki k. Warszawy",pl,Manufacturer Name and Address,manufacturer_info
306,Senza OGM Verificato,it,Certifications,certification_mark
307,Nestlé Milo Chocolate Malt Drink,en,Product Name and Identity,brand_product
308,Coca-Cola® Classic,en,Product Name and Identity,brand_product
309,製造日：12/2026,ja,Sell-By / Best-Before / Expiry Dates,expiry_date
310,حلال معتمد,ar,Certifications,certification_mark
311,ठंडी और सूखी जगह में रखें,hi,Storage Instructions,storage_guidance
312,经销商：华润万家，深圳市罗湖区宝安北路,zh,Manufacturer Name and Address,manufacturer_info
313,Niska zawartość tłuszczu,pl,Nutritional and Health Claims,health_claim
314,Barilla Spaghetti N°5,it,Product Name and Identity,brand_product
315,Rijk aan Omega-3,nl,Nutritional and Health Claims,health_claim
316,カスタマーサービス@グリコ.jp,ja,Emails or Website URL,contact_info
317,www.brand.jp,ja,Emails or Website URL,contact_info
318,겨자 혼입 가능성,ko,Allergy Labeling,allergen_warning
319,Contém SULFITOS,pt,Allergy Labeling,allergen_warning
320,Gerçek Meyvelerden Yapılmış,tr,Marketing Claims,promotional_text
321,ALLERGÈNES: Voir ingrédients en GRAS,fr,Allergy Labeling,allergen_warning
322,Bez sztucznych barwników i aromatów,pl,Marketing Claims,promotional_text
323,ビタミンD供給源,ja,Nutritional and Health Claims,health_claim
324,"Nährwerte pro 100g: Energie 1680kJ/400kcal, Fett 15g (davon gesättigte Fettsäuren 7g), Kohlenhydrate 60g (davon Zucker 25g), Eiweiß 8g, Salz 0,5g",de,Nutritional Fact Label,nutrition_table
325,"Enthält: Milch, Eier, Soja, Gluten, Emulgator (E322)",de,Ingredients,ingredient_list
326,www.kelloggs.com,en,Emails or Website URL,contact_info
327,Ritter Sport Vollmilch Schokolade,de,Product Name and Identity,brand_product
328,Rainforest Alliance Sertifikalı,tr,Certifications,certification_mark
329,キットカット ミニ,ja,Product Name and Identity,brand_product
330,contatto@galbani.it,it,Emails or Website URL,contact_info
331,"1,5 L",fr,Net Quantity of Contents,weight_volume
332,롯데 가나초콜릿,ko,Product Name and Identity,brand_product
333,采用真实水果制作,zh,Marketing Claims,promotional_text
334,"Industrializado por: BRF S.A., Rua Jorge Tzachel 475, Itajaí/SC",pt,Manufacturer Name and Address,manufacturer_info
335,Füllmenge: 1 kg,de,Net Quantity of Contents,weight_volume
336,Certifié Halal,fr,Certifications,certification_mark
337,加入200毫升沸水并搅拌,zh,Usage Instructions,preparation_guide
338,Na opening in de koelkast bewaren,nl,Storage Instructions,storage_guidance
339,Winiary Budyń Waniliowy,pl,Product Name and Identity,brand_product
340,Sin Colorantes ni Sabores Artificiales,es,Marketing Claims,promotional_text
341,CONTIENE: PESCE,it,Allergy Labeling,allergen_warning
342,No Artificial Colors or Flavors,en,Marketing Claims,promotional_text
343,"Wartości odżywcze na 100g: Energia 400kcal, Tłuszcze 15g (w tym nasycone 7g), Węglowodany 60g (cukry 25g), Białko 8g, Sól 0,5g",pl,Nutritional Fact Label,nutrition_table
344,Dodać do 200ml wrzącej wody i wymieszać,pl,Usage Instructions,preparation_guide
345,热油炸3-4分钟至金黄,zh,Usage Instructions,preparation_guide
346,180°C에서 25분간 굽기,ko,Usage Instructions,preparation_guide
347,Халяль сертифицированный,ru,Certifications,certification_mark
348,0-4°C에서 냉장 보관,ko,Storage Instructions,storage_guidance
349,賞味期限：02/2027,ja,Sell-By / Best-Before / Expiry Dates,expiry_date
350,Contém probióticos,pt,Nutritional and Health Claims,health_claim
351,visita: marchio.it,it,Emails or Website URL,contact_info
352,Mit echten Früchten hergestellt,de,Marketing Claims,promotional_text
353,Certified Gluten-Free,en,Certifications,certification_mark
354,Bake at 200°C for 15-20 minutes,en,Usage Instructions,preparation_guide
355,Без искусственных красителей и ароматизаторов,ru,Marketing Claims,promotional_text
356,Validade: 09/2026,pt,Sell-By / Best-Before / Expiry Dates,expiry_date
357,过敏原：含有麸质,zh,Allergy Labeling,allergen_warning
358,كادبوري شوكولاتة بالحليب,ar,Product Name and Identity,brand_product
359,Alérgenos: Contiene GLUTEN,es,Allergy Labeling,allergen_warning
360,250g ℮,en,Net Quantity of Contents,weight_volume
361,Gentechnikfrei Verifiziert,de,Certifications,certification_mark
362,"Información Nutricional por 100g: Energía 1680kJ/400kcal, Grasas 15g (de las cuales saturadas 7g), Hidratos de carbono 60g (azúcares 25g), Proteínas 8g, Sal 0,5g",es,Nutritional Fact Label,nutrition_table
363,kontakt@marka.pl,pl,Emails or Website URL,contact_info
364,HACCP प्रमाणित,hi,Certifications,certification_mark
365,"Содержит: Молоко, Яйца, Сою, Глютен, Эмульгатор (E322)",ru,Ingredients,ingredient_list
366,May contain traces of PEANUTS and TREE NUTS,en,Allergy Labeling,allergen_warning
